absoluteTime,trialTime,deltaTime,trialIndex,eventType,keyboardValue,xKeyHitLocal,yKeyHitLocal,candidate1,candidate2,candidate3,conditionType,currentText,targetText
191738.7312452,3.617464,0.01077,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.7430853,3.628902,0.0114376,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.7542259,3.640075,0.0111735,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.7647252,3.65087,0.0107945,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.776863,3.662736,0.0118657,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.787243,3.673396,0.0106599,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.7983843,3.684172,0.0107768,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.8091232,3.695315,0.0111427,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.8209072,3.706643,0.0113276,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.8317154,3.71786,0.0112168,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.842793,3.728678,0.010819,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.8537155,3.739877,0.0111979,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.8650567,3.75092,0.0110434,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191738.8761469,3.762006,0.0110859,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
